Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.10528,-0.091997,-0.067082,0,0,0,2.7531,0.0065612,-4.3391E-07,7.9314E-06,0.0057253,-4.291E-07,0.01163,0,0,0,0,0,0,package://Al profile 개선/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Al profile 개선/meshes/base_link.STL,,Body(fixed)-1,좌표계1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,6.9389E-18,-0.041313,-0.0045,0,0,0,0.019514,7.6084E-06,3.211E-23,-8.2575E-22,4.2404E-06,-1.1866E-21,6.5552E-06,0,0,0,0,0,0,package://Al profile 개선/meshes/LFS.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Al profile 개선/meshes/LFS.STL,,Sus_L-1/Long_sus-1,Origin_LFS,Axis_LFS,LFS,continuous,-0.0365,0.036,-0.091297,1.5708,0,1.5708,base_link,0,1,0,,,,,,,,,,,,
LFW,0.03275,-0.055,0.0085,0,0,0,0.28979,0.00043983,-4.6524E-37,-1.5018E-37,0.00024165,3.024E-39,0.00024165,0,0,0,0,0,0,package://Al profile 개선/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://Al profile 개선/meshes/LFW.STL,,wheel-2,Origin_LFW,Axis_LFW,LFW,continuous,0,-0.014801,0,0,0,0,LFS,0,1,0,3.1,7,,,,,,,,,,
RFS,-2.7756E-17,-0.041313,-0.0045,0,0,0,0.019514,7.6084E-06,-9.5897E-22,7.6546E-23,4.2404E-06,1.7607E-21,6.5552E-06,0,0,0,0,0,0,package://Al profile 개선/meshes/RFS.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Al profile 개선/meshes/RFS.STL,,Sus_R-1/Long_sus-1,Origin_RFS,Axis_RFS,RFS,continuous,-0.0365,-0.224,-0.091297,1.5708,0,1.5708,base_link,0,1,0,,,,,,,,,,,,
RFW,-0.03275,-0.055,0.0085,0,0,0,0.28979,0.00043983,-4.6524E-37,5.1371E-37,0.00024165,3.024E-39,0.00024165,0,0,0,0,0,0,package://Al profile 개선/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://Al profile 개선/meshes/RFW.STL,,wheel-1,Origin_RFW,Axis_RFW,RFW,continuous,0,-0.014799,0,0,0,0,RFS,0,1,0,3.1,7,,,,,,,,,,
LBS,6.9389E-18,-0.067035,-0.0045,0,0,0,0.36367,0.00028006,2.2657E-20,-5.7229E-20,0.00043029,-3.0931E-20,0.0002799,0,0,0,0,0,0,package://Al profile 개선/meshes/LBS.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Al profile 개선/meshes/LBS.STL,,"ball_sus,big-1",Origin_LBS,Axis_LBS,LBS,continuous,-0.1865,0.036,-0.091297,1.5708,0,1.5708,base_link,0,1,0,,,,,,,,,,,,
LBW,0,0,-0.0045,0,0,0,0.4849,0.0002376,0,0,0.0002376,0,0.0002376,0,0,0,0,0,0,package://Al profile 개선/meshes/LBW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Al profile 개선/meshes/LBW.STL,,Alball_big-1,Origin_LBW,Axis_LBW,LBW,continuous,0,-0.0898,0,0,0,0,LBS,0,0,1,3.1,7,,,,,,,,,,
RBS,0,-0.067035,-0.0045,0,0,0,0.36367,0.00028006,-5.6302E-20,1.144E-19,0.00043029,-3.0931E-20,0.0002799,0,0,0,0,0,0,package://Al profile 개선/meshes/RBS.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Al profile 개선/meshes/RBS.STL,,"ball_sus,big-2",Origin_RBS,Axis_RBS,RBS,continuous,-0.1865,-0.224,-0.091297,1.5708,0,1.5708,base_link,0,1,0,,,,,,,,,,,,
RBW,0,0,-0.0045,0,0,0,0.4849,0.0002376,0,0,0.0002376,0,0.0002376,0,0,0,0,0,0,package://Al profile 개선/meshes/RBW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Al profile 개선/meshes/RBW.STL,,Alball_big-2,Origin_RBW,Axis_RBW,RBW,continuous,0,-0.0898,0,0,0,0,RBS,0,0,1,3.1,7,,,,,,,,,,
imu_link,0.011062,0.0085153,0.00096622,0,0,0,0.00070067,1.798E-08,-5.1561E-11,-2.3337E-11,2.8868E-08,-5.7227E-12,4.6383E-08,0,0,0,0,0,0,package://Al profile 개선/meshes/imu_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Al profile 개선/meshes/imu_link.STL,,IMU-1,Origin_imu_link,,imu_link,fixed,-0.033937,-0.036407,0.035203,0,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
fcam,-0.051729,0.061784,0.068723,0,0,0,0.043612,4.2948E-06,-8.8579E-10,-1.0181E-09,2.2106E-05,2.1758E-08,2.3571E-05,0,0,0,0,0,0,package://Al profile 개선/meshes/fcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Al profile 개선/meshes/fcam.STL,,Webcam_C920-2,Origin_fcam,Axis_fcam,fcam,prismatic,-0.069277,-0.045536,-0.04329,1.5708,0,1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
bcam,0.019997,0.01129,0.0068148,0,0,0,0.043612,4.2948E-06,-8.8548E-10,-1.0183E-09,2.2106E-05,2.1758E-08,2.3571E-05,0,0,0,0,0,0,package://Al profile 개선/meshes/bcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Al profile 개선/meshes/bcam.STL,,Webcam_C920-1,Origin_bcam,Axis_bcam,bcam,continuous,-0.020898,-0.114,-0.020898,2.3562,0,1.5708,base_link,0,0,1,,,,,,,,,,,,
lide,-0.078493,0.74443,0.13345,0,0,0,0.073085,1.9581E-05,-4.2839E-07,1.0393E-07,4.1418E-05,-9.4271E-09,2.4125E-05,0,0,0,0,0,0,package://Al profile 개선/meshes/lide.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Al profile 개선/meshes/lide.STL,,RPLidar-1,Origin_lide,,lide,fixed,-0.10595,0.036835,-0.68449,1.5708,0,-0.0026238,base_link,0,0,0,,,,,,,,,,,,
